,companyId,positionId,positionNameByMe,industryField,education,workYear,city,positionAdvantage,salary,positionName,companyShortName,companyFullName,companySize,district,latitude,longitude,firstType,secondType,financeStage,jobNature
36,44127,2730954,前端,移动互联网,大专,5-10年,福州,"引领者,发展空间大,氛围好,风景独好",15k-25k,高级web前端开发工程师,福昕软件,福建福昕软件开发股份有限公司,150-500人,鼓楼区,26.098739,119.247939,开发|测试|运维类,移动前端开发,D轮及以上,全职
37,510159,5590244,前端,移动互联网,不限,不限,福州,做真正的自己，我们喜欢真实的你,6k-12k,web前端开发（接受实习生）,一八零信息科技有限公司,福州一八零信息科技有限公司,50-150人,鼓楼区,26.070249,119.280212,开发|测试|运维类,前端开发,不需要融资,全职
38,131019,5593521,前端,移动互联网,大专,1-3年,福州,六险一金 周末双休 年底双薪 旅游体检,6k-10k,web前端开发工程师,光通互联,福建光通互联通信有限公司,50-150人,鼓楼区,26.099088,119.245707,开发|测试|运维类,前端开发,未融资,全职
39,244619,3581941,前端,信息安全、移动互联网,本科,1年以下,福州,"五险一金,周末双休,带薪年假,年终奖金",5k-8k,Web前端开发工程师,北卡科技,福建北卡科技有限公司,15-50人,闽侯县,26.038896,119.211553,开发|测试|运维类,移动前端开发,未融资,全职
40,220096,5543565,前端,移动互联网,大专,1-3年,福州,五险一金、年终奖励,8k-10k,web前端开发工程师,滴咚网络,福州滴咚网络科技有限公司,50-150人,闽侯县,26.040384,119.217256,开发|测试|运维类,前端开发,不需要融资,全职
41,501608,5590840,前端,"移动互联网,数据服务",大专,1-3年,福州,根据不同能力水平，薪资可有所调整。,4k-8k,web前端开发（接受实习生）,福州一八一信息科技有限公司,福州一八一信息科技有限公司,15-50人,鼓楼区,26.070249,119.280212,开发|测试|运维类,前端开发,未融资,全职
42,518809,5830190,前端,"移动互联网,教育",本科,不限,福州,超扁平化管理,3k-4k,web前端实习生,智慧奇思（cheersmind）,福州智慧奇思信息科技有限公司,15-50人,仓山区,26.0182,119.278579,开发|测试|运维类,前端开发,未融资,全职
43,306150,5226936,前端,移动互联网,大专,3-5年,福州,"五险一金,带薪年假,周末双休,环境氛围好",10k-15k,web前端高级研发工程师,国信立联,福建国信立联信息科技有限公司,50-150人,晋安区,26.085653,119.325538,开发|测试|运维类,移动前端开发,未融资,全职
44,302395,4029966,前端,"移动互联网,游戏",本科,1-3年,福州,"线上游戏,市场空间大",8k-14k,html5前端开发工程师,畅游世界,福州市畅游世界网络科技有限公司,15-50人,台江区,26.060703,119.279336,开发|测试|运维类,移动前端开发,不需要融资,全职
45,44127,3490755,前端,移动互联网,大专,1-3年,福州,不一样前端,7k-12k,中级web前端,福昕软件,福建福昕软件开发股份有限公司,150-500人,鼓楼区,26.098739,119.247939,开发|测试|运维类,移动前端开发,D轮及以上,全职
46,302395,4278964,前端,"移动互联网,游戏",不限,3-5年,福州,"福利高,待遇好,行业前景大,技术股",10k-17k,前端主程cocos2d-x,畅游世界,福州市畅游世界网络科技有限公司,15-50人,台江区,26.060703,119.279336,开发|测试|运维类,移动前端开发,不需要融资,全职
47,531253,5712977,前端,其他,大专,3-5年,福州,"公司福利待遇好人性化
五险双休加年底双薪",6k-8k,js前端,微指间,福州微指间软件开发有限公司,15-50人,仓山区,26.035605,119.273922,开发|测试|运维类,移动前端开发,未融资,全职
48,8288,3714442,前端,"移动互联网,教育",本科,3-5年,福州,"五险一金,健身房,年终多薪",10k-20k,软件开发工程师（web前端）,网龙网络有限公司,福建网龙计算机网络信息技术有限公司,2000人以上,鼓楼区,26.09077,119.31312,开发|测试|运维类,移动前端开发,上市公司,全职
